record_number,full_text_id,processed,decision,reason,Key,Publication Year,Author,Title,Publication Title,ISSN,DOI,Issue,Volume,Journal Abbreviation,Country,Language,Rights,Extra,Notes,File Attachments,Link Attachments
272,ft_272,NA,Include - Title/Abstract,NA,8JLHZSL3,2015,"Voutilainen, Liina; Sironen, Tarja; Tonteri, Elina; Bäck, Anne Tuiskunen; Razzauti, Maria; Karlsson, Malin; Wahlström, Maria; Niemimaa, Jukka; Henttonen, Heikki; Lundkvist, Åke",Life-long shedding of Puumala hantavirus in wild bank voles (Myodes glareolus).,The Journal of general virology,1465-2099 0022-1317,10.1099/vir.0.000076,Pt 6,96,J Gen Virol,Finland,eng,© 2015 The Authors.,Place: England PMID: 25701819,NA,NA,NA
273,ft_273,y,Include - Title/Abstract,NA,4VFYPCC3,2015,"Himsworth, Chelsea G.; Bai, Ying; Kosoy, Michael Y.; Wood, Heidi; DiBernardo, Antonia; Lindsay, Robbin; Bidulka, Julie; Tang, Patrick; Jardine, Claire; Patrick, David","An investigation of Bartonella spp., Rickettsia typhi, and Seoul hantavirus in rats (Rattus spp.) from an inner-city neighborhood of Vancouver, Canada: is pathogen presence a reflection of global and local rat population structure?","Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2014.1657,1,15,Vector Borne Zoonotic Dis,Canada,eng,NA,Place: United States PMID: 25629777,NA,NA,NA
274,ft_274,NA,Include - Title/Abstract,NA,CIT32DVW,2015,"Li, Kun; Lin, Xian-Dan; Wang, Wen; Shi, Mang; Guo, Wen-Ping; Zhang, Xiao-He; Xing, Jian-Guang; He, Jin-Rong; Wang, Ke; Li, Ming-Hui; Cao, Jian-Hai; Jiang, Mu-Liu; Holmes, Edward C.; Zhang, Yong-Zhen","Isolation and characterization of a novel arenavirus harbored by Rodents and Shrews in Zhejiang province, China.",Virology,1096-0341 0042-6822,10.1016/j.virol.2014.11.026,NA,476,Virology,China,eng,Copyright © 2014 Elsevier Inc. All rights reserved.,Place: United States PMID: 25506671,NA,NA,NA
275,ft_275,NA,Include - Title/Abstract,NA,CYKGFTZR,2015,"Tkachenko, Evgeniy A.; Witkowski, Peter T.; Radosa, Lukas; Dzagurova, Tamara K.; Okulova, Nataliya M.; Yunicheva, Yulia V.; Vasilenko, Ludmila; Morozov, Vyacheslav G.; Malkin, Gennadiy A.; Krüger, Detlev H.; Klempa, Boris","Adler hantavirus, a new genetic variant of Tula virus identified in Major's pine voles (Microtus majori) sampled in southern European Russia.","Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",1567-7257 1567-1348,10.1016/j.meegid.2014.11.018,NA,29,Infect Genet Evol,Russia,eng,Copyright © 2014. Published by Elsevier B.V.,Place: Netherlands PMID: 25433134,NA,NA,NA
276,ft_276,NA,Include - Title/Abstract,NA,WEGKKBKF,2014,"Zhang, Shuo; Wang, Shiwen; Yin, Wenwu; Liang, Mifang; Li, Jiandong; Zhang, Quanfu; Feng, Zijian; Li, Dexin","Epidemic characteristics of hemorrhagic fever with renal syndrome in China, 2006-2012.",BMC infectious diseases,1471-2334,10.1186/1471-2334-14-384,NA,14,BMC Infect Dis,China,eng,NA,Place: England PMID: 25012160 PMCID: PMC4105051,NA,NA,NA
277,ft_277,NA,Include - Title/Abstract,NA,UJ88SVNF,2014,"Teixeira, Bernardo R.; Loureiro, Nathalie; Strecht, Liana; Gentile, Rosana; Oliveira, Renata C.; Guterres, Alexandro; Fernandes, Jorlan; Mattos, Luciana H. B. V.; Raboni, Sonia M.; Rubio, Giselia; Bonvicino, Cibele R.; dos Santos, Claudia N. Duarte; Lemos, Elba R. S.; D'Andrea, Paulo S.",Population ecology of hantavirus rodent hosts in southern Brazil.,The American journal of tropical medicine and hygiene,1476-1645 0002-9637,10.4269/ajtmh.13-0465,2,91,Am J Trop Med Hyg,Brazil,eng,© The American Society of Tropical Medicine and Hygiene.,Place: United States PMID: 24935954 PMCID: PMC4125245,NA,NA,NA
278,ft_278,NA,Include - Title/Abstract,NA,6XGQHZRX,2014,"Schmidt, Sabrina; Essbauer, Sandra S.; Mayer-Scholl, Anne; Poppert, Sven; Schmidt-Chanasit, Jonas; Klempa, Boris; Henning, Klaus; Schares, Gereon; Groschup, Martin H.; Spitzenberger, Friederike; Richter, Dania; Heckel, Gerald; Ulrich, Rainer G.",Multiple infections of rodents with zoonotic pathogens in Austria.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2013.1504,7,14,Vector Borne Zoonotic Dis,Austria,eng,NA,Place: United States PMID: 24915446 PMCID: PMC4098071,NA,NA,NA
279,ft_279,NA,Include - Title/Abstract,NA,DMRMYW28,2014,"de Thoisy, Benoît; Matheus, Séverine; Catzeflis, François; Clément, Luc; Barrioz, Sébastien; Guidez, Amandine; Donato, Damien; Cornu, Jean-François; Brunaux, Olivier; Guitet, Stéphane; Lacoste, Vincent; Lavergne, Anne",Maripa hantavirus in French Guiana: phylogenetic position and predicted spatial distribution of rodent hosts.,The American journal of tropical medicine and hygiene,1476-1645 0002-9637,10.4269/ajtmh.13-0257,6,90,Am J Trop Med Hyg,French Guiana,eng,© The American Society of Tropical Medicine and Hygiene.,Place: United States PMID: 24752689 PMCID: PMC4047759,NA,NA,NA
280,ft_280,NA,Include - Title/Abstract,NA,XZYN5EPT,2014,"Panculescu-Gatej, Raluca Ioana; Sirbu, Anca; Dinu, Sorin; Waldstrom, Maria; Heyman, Paul; Murariu, Dimitru; Petrescu, Angela; Szmal, Camelia; Oprisan, Gabriela; Lundkvist, Ake; Ceianu, Cornelia S.","Dobrava virus carried by the yellow-necked field mouse Apodemus flavicollis, causing hemorrhagic fever with renal syndrome in Romania.","Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2013.1400,5,14,Vector Borne Zoonotic Dis,Romania,eng,NA,Place: United States PMID: 24746107 PMCID: PMC4025565,NA,NA,NA
281,ft_281,NA,Include - Title/Abstract,NA,NLFAN3M3,2014,"Forbes, Kristian M.; Voutilainen, Liina; Jääskeläinen, Anne; Sironen, Tarja; Kinnunen, Paula M.; Stuart, Peter; Vapalahti, Olli; Henttonen, Heikki; Huitu, Otso",Serological survey of rodent-borne viruses in Finnish field voles.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2013.1526,4,14,Vector Borne Zoonotic Dis,Finland,eng,NA,Place: United States PMID: 24689532 PMCID: PMC3993079,NA,NA,NA
282,ft_282,NA,Include - Title/Abstract,NA,B4ASUBP5,2014,"Ali, Hanan Sheikh; Drewes, Stephan; Sadowska, Edyta T.; Mikowska, Magdalena; Groschup, Martin H.; Heckel, Gerald; Koteja, Pawel; Ulrich, Rainer G.",First molecular evidence for Puumala hantavirus in Poland.,Viruses,1999-4915,10.3390/v6010340,1,6,Viruses,Poland,eng,NA,Place: Switzerland PMID: 24452006 PMCID: PMC3917447,NA,NA,NA
283,ft_283,NA,Include - Title/Abstract,NA,5DZZ69EX,2014,"Razuri, Hugo; Tokarz, Rafal; Ghersi, Bruno M.; Salmon-Mulanovich, Gabriela; Guezala, M. Claudia; Albujar, Christian; Mendoza, A. Patricia; Tinoco, Yeny O.; Cruz, Christopher; Silva, Maria; Vasquez, Alicia; Pacheco, Víctor; Ströher, Ute; Guerrero, Lisa Wiggleton; Cannon, Deborah; Nichol, Stuart T.; Hirschberg, David L.; Lipkin, W. Ian; Bausch, Daniel G.; Montgomery, Joel M.","Andes hantavirus variant in rodents, southern Amazon Basin, Peru.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid2002.131418,2,20,Emerg Infect Dis,Peru,eng,NA,Place: United States PMID: 24447689 PMCID: PMC3901500,NA,NA,NA
284,ft_284,NA,Include - Title/Abstract,NA,6UUL3TMK,2013,"Korva, Miša; Knap, Nataša; Rus, Katarina Resman; Fajs, Luka; Grubelnik, Gašper; Bremec, Matejka; Knapič, Tea; Trilar, Tomi; Županc, Tatjana Avšič",Phylogeographic diversity of pathogenic and non-pathogenic hantaviruses in slovenia.,Viruses,1999-4915,10.3390/v5123071,12,5,Viruses,Slovenia,eng,NA,Place: Switzerland PMID: 24335778 PMCID: PMC3967161,NA,NA,NA
285,ft_285,NA,Include - Title/Abstract,NA,UBUGFK8E,2013,"Gu, Se Hun; Nicolas, Violaine; Lalis, Aude; Sathirapongsasuti, Nuankanya; Yanagihara, Richard",Complete genome sequence and molecular phylogeny of a newfound hantavirus harbored by the Doucet's musk shrew (Crocidura douceti) in Guinea.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",1567-7257 1567-1348,10.1016/j.meegid.2013.08.016,NA,20,Infect Genet Evol,Guinea,eng,Copyright © 2013 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 23994121 PMCID: PMC3844077,NA,NA,NA
286,ft_286,NA,Include - Title/Abstract,NA,KF5J7AYX,2013,"Németh, Viktória; Oldal, Miklós; Madai, Mónika; Horváth, Győző; Kemenesi, Gábor; Dallos, Bianka; Bányai, Krisztián; Jakab, Ferenc",Molecular characterization of Dobrava and Kurkino genotypes of Dobrava-Belgrade hantavirus detected in Hungary and Northern Croatia.,Virus genes,1572-994X 0920-8569,10.1007/s11262-013-0963-6,3,47,Virus Genes,"Hungary, Croatia",eng,NA,Place: United States PMID: 23896975,NA,NA,NA
287,ft_287,NA,Include - Title/Abstract,NA,9HK5ZWNK,2013,"Yan, Qing-Li; Yang, Peng-Feil; Shao, Li-Jun; Liu, Yong-Xian; Pu, Yun; Zhang, Xiao-Long; Cao, Xiao-Mei; Guo, Tian-Yu; Yao, Li-Si",[The analysis of hantavirus S gene in Apodemus agrarius in Changbai area].,Bing du xue bao = Chinese journal of virology,1000-8721,NA,4,29,Bing Du Xue Bao,NA,chi,NA,Place: China PMID: 23895001,NA,NA,NA
288,ft_288,NA,Include - Title/Abstract,NA,RDN5Z53U,2013,"Radosa, Lukáš; Schlegel, Mathias; Gebauer, Petra; Ansorge, Hermann; Heroldová, Marta; Jánová, Eva; Stanko, Michal; Mošanský, Ladislav; Fričová, Jana; Pejčoch, Milan; Suchomel, Josef; Purchart, Luboš; Groschup, Martin H.; Krüger, Detlev H.; Ulrich, Rainer G.; Klempa, Boris",Detection of shrew-borne hantavirus in Eurasian pygmy shrew (Sorex minutus) in Central Europe.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",1567-7257 1567-1348,10.1016/j.meegid.2013.04.008,NA,19,Infect Genet Evol,"Germany, Czechia, Slovakia",eng,Copyright © 2013 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 23602837,NA,NA,NA
289,ft_289,NA,Include - Title/Abstract,NA,WXQY87LC,2012,"Liu, Dong-ying; Liu, Jing; Li, Jin-lin; Chen, Wen; Luo, Fan; Li, Qing; Yang, Zhan-qiu","[Genetic analysis on S segment of hantaviruses in rodent hosts from Wuhan area, Hubei province].",Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,0254-6450,NA,8,33,Zhonghua Liu Xing Bing Xue Za Zhi,NA,chi,NA,Place: China PMID: 22967338,NA,NA,NA
290,ft_290,NA,Include - Title/Abstract,NA,XZ6RQKWG,2012,"Raboni, Sonia M.; Delfraro, Adriana; de Borba, Luana; Teixeira, Bernardo R.; Stella, Vanessa; de Araujo, Marina R.; Carstensen, Suzana; Rubio, Giselia; Maron, Angela; Lemos, Elba R. S.; D'Andrea, Paulo S.; Duarte dos Santos, Claudia N.",Hantavirus infection prevalence in wild rodents and human anti-hantavirus serological profiles from different geographic areas of South Brazil.,The American journal of tropical medicine and hygiene,1476-1645 0002-9637,10.4269/ajtmh.2012.11-0762,2,87,Am J Trop Med Hyg,Brazil,eng,NA,Place: United States PMID: 22855773 PMCID: PMC3414579,NA,NA,NA
291,ft_291,NA,Include - Title/Abstract,NA,J6R925XP,2012,"Li, Jin-lin; Ling, Jia-xin; Liu, Dong-ying; Liu, Jing; Liu, Yuan-yuan; Wei, Fei; Luo, Fan; Chen, Wen; Zhang, Yi-hui; Xiong, Hai-rong; Hou, Wei; Yang, Zhan-qiu","Genetic characterization of a new subtype of Hantaan virus isolated from a hemorrhagic fever with renal syndrome (HFRS) epidemic area in Hubei Province, China.",Archives of virology,1432-8798 0304-8608,10.1007/s00705-012-1382-z,10,157,Arch Virol,China,eng,NA,Place: Austria PMID: 22718221,NA,NA,NA
292,ft_292,NA,Include - Title/Abstract,NA,LALCXFLR,2012,"Plyusnina, Angelina; Heyman, Paul; Baert, Kristof; Stuyck, Jan; Cochez, Christel; Plyusnin, Alexander",Genetic characterization of seoul hantavirus originated from norway rats (Rattus norvegicus) captured in Belgium.,Journal of medical virology,1096-9071 0146-6615,10.1002/jmv.23321,8,84,J Med Virol,Belgium,eng,"Copyright © 2012 Wiley Periodicals, Inc.",Place: United States PMID: 22711359,NA,NA,NA
293,ft_293,NA,Include - Title/Abstract,NA,B7L6UE5L,2012,"Oliveira, Renata Carvalho de; Guterres, Alexandro; Schrago, Carlos Guerra; Fernandes, Jorlan; Teixeira, Bernardo Rodrigues; Zeccer, Suzana; Bonvicino, Cibele R.; D'Andrea, Paulo Sérgio; de Lemos, Elba Regina Sampaio",Detection of the first incidence of Akodon paranaensis naturally infected with the Jabora virus strain (Hantavirus) in Brazil.,Memorias do Instituto Oswaldo Cruz,1678-8060 0074-0276,10.1590/s0074-02762012000300020,3,107,Mem Inst Oswaldo Cruz,Brazil,eng,NA,Place: Brazil PMID: 22510841,NA,NA,NA
294,ft_294,NA,Exclude - Full Text,"No data, review article",D6GAT7MB,2012,"Palma, R. Eduardo; Polop, Jaime J.; Owen, Robert D.; Mills, James N.","Ecology of rodent-associated hantaviruses in the Southern Cone of South America: Argentina, Chile, Paraguay, and Uruguay.",Journal of wildlife diseases,1943-3700 0090-3558,10.7589/0090-3558-48.2.267,2,48,J Wildl Dis,NA,eng,NA,Place: United States PMID: 22493103,NA,NA,NA
295,ft_295,NA,Include - Title/Abstract,NA,77WIQMW6,2012,"Schlegel, Mathias; Radosa, Lukáš; Rosenfeld, Ulrike M.; Schmidt, Sabrina; Triebenbacher, Cornelia; Löhr, Paul-Walter; Fuchs, Dieter; Heroldová, Marta; Jánová, Eva; Stanko, Michal; Mošanský, Ladislav; Fričová, Jana; Pejčoch, Milan; Suchomel, Josef; Purchart, Luboš; Groschup, Martin H.; Krüger, Detlev H.; Klempa, Boris; Ulrich, Rainer G.",Broad geographical distribution and high genetic diversity of shrew-borne Seewis hantavirus in Central Europe.,Virus genes,1572-994X 0920-8569,10.1007/s11262-012-0736-7,1,45,Virus Genes,"Czechia, Slovakia",eng,NA,Place: United States PMID: 22467179,NA,NA,NA
296,ft_296,NA,Include - Title/Abstract,NA,5LUP9LY9,2011,"Milazzo, Mary L.; Cajimat, Maria N. B.; Duno, Gloria; Duno, Freddy; Utrera, Antonio; Fulhorst, Charles F.","Transmission of Guanarito and Pirital viruses among wild rodents, Venezuela.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid1712.110393,12,17,Emerg Infect Dis,Venezuela,eng,NA,Place: United States PMID: 22172205 PMCID: PMC3311192,NA,NA,NA
297,ft_297,NA,Include - Title/Abstract,NA,66C8P5UZ,2012,"Liu, Jing; Liu, Dong-Ying; Chen, Wen; Li, Jin-Lin; Luo, Fan; Li, Qing; Ling, Jia-Xin; Liu, Yuan-Yuan; Xiong, Hai-Rong; Ding, Xiao-Hua; Hou, Wei; Zhang, Yun; Li, Shi-Yue; Wang, Jie; Yang, Zhan-Qiu",Genetic analysis of hantaviruses and their rodent hosts in central-south China.,Virus research,1872-7492 0168-1702,10.1016/j.virusres.2011.11.006,2,163,Virus Res,China,eng,Crown Copyright © 2011. Published by Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 22108583,NA,NA,NA
298,ft_298,NA,Include - Title/Abstract,NA,TZA8H7JZ,2011,"Ishii, Akihiro; Thomas, Yuka; Moonga, Ladslav; Nakamura, Ichiro; Ohnuma, Aiko; Hang'ombe, Bernard; Takada, Ayato; Mweene, Aaron; Sawa, Hirofumi","Novel arenavirus, Zambia.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid1710.10452,10,17,Emerg Infect Dis,Zambia,eng,NA,Place: United States PMID: 22000372 PMCID: PMC3310648,NA,NA,NA
299,ft_299,NA,Include - Title/Abstract,NA,DA53IUSH,2011,"Guivier, E.; Galan, M.; Chaval, Y.; Xuéreb, A.; Ribas Salvador, A.; Poulle, M.-L.; Voutilainen, L.; Henttonen, H.; Charbonnel, N.; Cosson, J. F.",Landscape genetics highlights the role of bank vole metapopulation dynamics in the epidemiology of Puumala hantavirus.,Molecular ecology,1365-294X 0962-1083,10.1111/j.1365-294X.2011.05199.x,17,20,Mol Ecol,France,eng,© 2011 Blackwell Publishing Ltd.,Place: England PMID: 21819469,NA,NA,NA
300,ft_300,NA,Include - Title/Abstract,NA,9JRIEJ2P,2011,"Mattar, Salim; Guzman, Camilo; Arrazola, Justiniano; Soto, Ella; Barrios, Jose; Pini, Noemi; Levis, Silvana; Salazar-Bravo, Jorge; Mills, James N.","Antibody to arenaviruses in rodents, Caribbean Colombia.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid1707.101961,7,17,Emerg Infect Dis,Colombia,eng,NA,Place: United States PMID: 21762602 PMCID: PMC3381393,NA,NA,NA
301,ft_301,NA,Include - Title/Abstract,NA,JV33GNPF,2011,"Zhou, Jia; Zhang, Xiao; Chen, Mengshi; Huang, Xin; Liu, Aizhong; Yang, Tubao; Tan, Hongzhuan",Epidemiological study on hemorrhagic fever with renal syndrome in flood areas.,Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,1672-7347,10.3969/j.issn.1672-7347.2011.03.006,3,36,Zhong Nan Da Xue Xue Bao Yi Xue Ban,China,eng,NA,Place: China PMID: 21464543,NA,NA,NA
302,ft_302,NA,Include - Title/Abstract,NA,NC87SCGH,2011,"Araujo, J.; Pereira, A.; Nardi, M. S.; Henriques, D. A.; Lautenschalager, D. A.; Dutra, L. M.; Ometto, T. L.; Hurtado, R. F.; Maués, F.; Nava, A.; Morais, F. A.; Aires, C. C.; Favorito, S.; Durigon, E. L.",Detection of hantaviruses in Brazilian rodents by SYBR-Green-based real-time RT-PCR.,Archives of virology,1432-8798 0304-8608,10.1007/s00705-011-0968-1,7,156,Arch Virol,Brazil,eng,NA,Place: Austria PMID: 21442233,NA,NA,NA
303,ft_303,NA,Include - Title/Abstract,NA,86NEBAL8,2011,"Ryou, Jungsang; Lee, Hee Il; Yoo, Youn Jeong; Noh, Yoon Tae; Yun, Seok-Min; Kim, Su Yeon; Shin, E.-Hyun; Han, Myung Guk; Ju, Young Ran","Prevalence of hantavirus infection in wild rodents from five provinces in Korea, 2007.",Journal of wildlife diseases,1943-3700 0090-3558,10.7589/0090-3558-47.2.427,2,47,J Wildl Dis,Republic of Korea,eng,NA,Place: United States PMID: 21441196,NA,NA,NA
304,ft_304,NA,Include - Title/Abstract,NA,E2U68CG2,2011,"Zhang, Yunzhi; Yuan, Junfa; Yang, Xinglou; Zhou, Jihua; Yang, Weihong; Peng, Cheng; Zhang, Hai-Lin; Shi, Zhengli",A novel hantavirus detected in Yunnan red-backed vole (Eothenomys miletus) in China.,The Journal of general virology,1465-2099 0022-1317,10.1099/vir.0.030122-0,Pt 6,92,J Gen Virol,China,eng,NA,Place: England PMID: 21402592,NA,NA,NA
305,ft_305,NA,Include - Title/Abstract,NA,ZRXPYJSM,2011,"Londoño, Andres F.; Díaz, Francisco J.; Agudelo-Flórez, Piedad; Levis, Silvana; Rodas, Juan D.",Genetic evidence of hantavirus infections in wild rodents from northwestern Colombia.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2010.0129,6,11,Vector Borne Zoonotic Dis,Colombia,eng,NA,Place: United States PMID: 21284514,NA,NA,NA
306,ft_306,NA,Include - Title/Abstract,NA,WJRY7WFE,2011,"Borremans, Benny; Leirs, Herwig; Gryseels, Sophie; Günther, Stephan; Makundi, Rhodes; de Bellocq, Joëlle Goüy","Presence of Mopeia virus, an African arenavirus, related to biotope and individual rodent host characteristics: implications for virus transmission.","Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2010.0010,8,11,Vector Borne Zoonotic Dis,Tanzania,eng,NA,Place: United States PMID: 21142956,NA,NA,NA
307,ft_307,NA,Include - Title/Abstract,NA,A88DRCYI,2010,"Richter, Martin H.; Hanson, John Delton; Cajimat, Maria N.; Milazzo, Mary Louise; Fulhorst, Charles F.","Geographical range of Rio Mamoré virus (family Bunyaviridae, genus Hantavirus) in association with the small-eared pygmy rice rat (Oligoryzomys microtis).","Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2009.0115,6,10,Vector Borne Zoonotic Dis,"Peru, Bolivia",eng,NA,Place: United States PMID: 20687859 PMCID: PMC2979329,NA,NA,NA
308,ft_308,NA,Include - Title/Abstract,NA,TGM6B624,2010,"Slonova, R. A.; Kushnareva, T. V.; Iunikhina, O. V.; Kompanets, G. G.; Maksema, I. G.; Kushnarev, E. L.",[Dynamics of hantavirus detection in the excretory organs of Apodemus mice and its relation to epidemic manifestations of hantavirus infection].,Voprosy virusologii,0507-4088,NA,2,55,Vopr Virusol,NA,rus,NA,Place: Russia (Federation) PMID: 20455471,NA,NA,NA
309,ft_309,NA,Include - Title/Abstract,NA,3W8DQ96D,2010,"Heroldová, Marta; Pejcoch, Milan; Bryja, Josef; Jánová, Eva; Suchomel, Josef; Tkadlec, Emil",Tula virus in populations of small terrestrial mammals in a rural landscape.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2009.0211,6,10,Vector Borne Zoonotic Dis,Czechia,eng,NA,Place: United States PMID: 20420534,NA,NA,NA
310,ft_310,NA,Exclude - Full Text,"No data, no pathogen",2UCWN6NN,2010,"Previtali, M. Andrea; Lehmer, Erin M.; Pearce-Duvet, Jessica M. C.; Jones, Jeremy D.; Clay, Christine A.; Wood, Britta A.; Ely, Patrick W.; Laverty, Sean M.; Dearing, M. Denise","Roles of human disturbance, precipitation, and a pathogen on the survival and reproductive probabilities of deer mice.",Ecology,0012-9658,10.1890/08-2308.1,2,91,Ecology,NA,eng,NA,Place: United States PMID: 20392022,NA,NA,NA
311,ft_311,NA,Include - Title/Abstract,NA,7T4P9NLJ,2009,"Li, Xue-Gang; Zhai, Wen-Ji; Li, Xiao-Juan","[Research on hantanvirus infection of rodents in Junan county, Shandong province].",Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,0254-6450,NA,7,30,Zhonghua Liu Xing Bing Xue Za Zhi,China,chi,NA,Place: China PMID: 19957614,NA,NA,NA
